,crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio,ExtSiteID
349,CRC165409,Take Groundwater,A,K36/1067,5.0,True,77.0,51.0,18.0,0.07142857142857142,168833
350,CRC167516,Take Surface Water,B,K36/1005,200.0,True,100.0,100.0,100.0,1.0,68801
351,CRC167516,Take Surface Water,B,K36/1005,200.0,True,100.0,100.0,100.0,1.0,168833
352,CRC167516,Take Surface Water,B,K36/1005,200.0,True,100.0,100.0,100.0,1.0,168821
353,CRC169467,Take Surface Water,A,BX20/0027,10.0,True,100.0,100.0,100.0,0.003937007874015748,68801
354,CRC169467,Take Surface Water,A,BX20/0027,10.0,True,100.0,100.0,100.0,0.003937007874015748,168833
355,CRC169467,Take Surface Water,A,K36/0906,70.0,True,100.0,100.0,100.0,0.027559055118110236,68801
356,CRC169467,Take Surface Water,A,K36/0906,70.0,True,100.0,100.0,100.0,0.027559055118110236,168833
357,CRC169467,Take Surface Water,A,K36/0906,70.0,True,100.0,100.0,100.0,0.027559055118110236,168821
358,CRC169467,Take Surface Water,A,K36/0908,70.0,True,100.0,100.0,100.0,0.027559055118110236,68801
359,CRC169467,Take Surface Water,A,K36/0908,70.0,True,100.0,100.0,100.0,0.027559055118110236,168833
360,CRC169467,Take Surface Water,A,K36/0908,70.0,True,100.0,100.0,100.0,0.027559055118110236,168821
361,CRC169467,Take Surface Water,A,K36/0909,10.0,True,100.0,100.0,100.0,0.003937007874015748,68801
362,CRC169467,Take Surface Water,A,K36/0909,10.0,True,100.0,100.0,100.0,0.003937007874015748,168833
363,CRC169467,Take Surface Water,A,K36/0909,10.0,True,100.0,100.0,100.0,0.003937007874015748,168841
364,CRC169467,Take Surface Water,A,K36/0909,10.0,True,100.0,100.0,100.0,0.003937007874015748,168846
365,CRC169467,Take Surface Water,A,K36/0910,100.0,True,100.0,100.0,100.0,0.03937007874015748,168834
366,CRC169467,Take Surface Water,A,K36/0910,100.0,True,100.0,100.0,100.0,0.03937007874015748,68801
367,CRC169467,Take Surface Water,A,K36/0911,480.0,True,100.0,100.0,100.0,0.1889763779527559,168834
368,CRC169467,Take Surface Water,A,K36/0911,480.0,True,100.0,100.0,100.0,0.1889763779527559,168849
369,CRC169467,Take Surface Water,A,K36/0911,480.0,True,100.0,100.0,100.0,0.1889763779527559,68801
370,CRC169467,Take Surface Water,A,K36/0912,1700.0,True,100.0,100.0,100.0,0.6692913385826772,168834
371,CRC169467,Take Surface Water,A,K36/0912,1700.0,True,100.0,100.0,100.0,0.6692913385826772,68801
372,CRC169467,Take Surface Water,A,K36/0966,100.0,True,100.0,100.0,100.0,0.03937007874015748,68801
